podium_place,id,name,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Murph,Run 5k,Snatch,Sprint 400m
1,900251,James Sprague,465.0,2630.0,355.0,550.0,520.0,1050.0,130.0,65.0,422.0,,72.0,,1080.0,285.0,59.0
2,671093,Dallin Pepper,425.0,,360.0,550.0,403.0,,127.0,118.0,,,50.0,,,300.0,
3,107101,Brent Fikowski,435.0,2856.0,355.0,515.0,,,,74.0,428.0,,,2619.0,1173.0,305.0,
4,1020449,Jayson Hopper,475.0,,390.0,550.0,408.0,,135.0,120.0,,,,,1140.0,300.0,52.0
5,158264,Patrick Vellner,455.0,,355.0,595.0,389.0,1216.0,134.0,77.0,586.0,,64.0,,1130.0,290.0,66.0
6,74320,Samuel Kwant,460.0,,345.0,530.0,,,124.0,107.0,,,74.0,,1085.0,285.0,
7,40955,Ricky Garard,451.00000000000006,,363.00000000000006,528.0,490.0,890.0,125.0,70.0,405.0,,75.0,,1052.0,297.0,54.0
8,811708,Justin Medeiros,,,,,,,,,,,,,,,
9,975774,Roman Khrennikov,473.00000000000006,,370.0,572.0,,,120.0,70.0,,,75.0,,,280.0,
10,947291,Austin Hatfield,535.0,,375.0,540.0,430.0,,110.0,67.0,,,82.0,,1072.0,305.0,48.0
11,310970,Saxon Panchik,475.0,,360.0,535.0,,,121.0,69.0,438.0,,62.0,,1065.0,295.0,52.0
12,156156,Jay Crouch,,,,,,,,,,,,,,,
13,1690,Travis Mayer,500.0,,360.0,565.0,447.0,819.0,128.0,78.0,394.0,,85.0,,1083.0,300.0,54.0
14,680734,Henrik Haapalainen,462.00000000000006,,374.00000000000006,539.0,,,,,,,,,,275.0,
15,926366,Jelle Hoste,,,,,,,,,,,,,,,
16,81616,Björgvin Karl Guðmundsson,445.0,,335.0,520.0,,,143.0,120.0,,,65.0,,1160.0,286.0,
17,1718365,Cole Greashaber,430.0,,350.0,500.0,,,,,,,,,,280.0,
18,1135386,Aniol Ekai,484.00000000000006,,352.0,539.0,,,,70.0,,,60.0,,1190.0,290.40000000000003,55.0
21,1312584,Harry Lightfoot,474.0,,355.0,551.0,,,,,,,,,,287.0,
22,251546,Alexandre Caron,460.0,,355.0,555.0,,1202.0,143.0,90.0,,,50.0,,1142.0,275.0,
23,2064040,Kalyan Souza,396.00000000000006,,316.8,528.0,,,142.0,119.0,454.0,,,,,277.20000000000005,
24,153625,Cole Sager,475.0,,345.0,505.0,522.0,795.0,123.0,70.0,434.0,,68.0,,1168.0,275.0,54.0
25,896411,Jack Rozema,500.0,,375.0,600.0,,,,,,,,,,305.0,
26,1335018,Bruno Marins,517.0,2880.0,363.00000000000006,528.0,,,117.0,82.0,,,77.0,,1200.0,299.20000000000005,60.0
27,1546147,Luke Parker,,,,,,,,,,,,,,,
28,479759,Bayley Martin,,,,,,,,,,,,,,,
29,740370,Ruan Potgieter,418.00000000000006,,330.0,506.00000000000006,337.0,,134.0,,,,79.0,,,264.0,
30,308651,Brandon Luckett,415.0,,335.0,485.0,,,156.0,,448.0,,,,,275.0,
31,1597619,Peter Ellis,,,,,,,,,,,,,,,
32,672425,Arthur Semenov,463.0,,375.0,585.0,,,,67.0,456.0,,50.0,,1170.0,305.0,
33,925870,Moritz Fiebig,484.00000000000006,,376.20000000000005,572.0,,,,,,,,,,297.0,
34,888668,Luka Đukić,,,,,,,,,,,,,,,
35,686308,Guilherme Malheiros,510.40000000000003,,395.0,535.0,,,146.0,146.0,,,50.0,,,310.0,55.0
36,469656,Jeffrey Adler,475.0,,377.0,567.0,511.0,917.0,122.0,76.0,438.0,,54.0,,1155.0,290.0,59.0
37,327636,Samuel Cournoyer,435.0,,370.0,530.0,,,125.0,90.0,,,,,,305.0,
38,1978208,Victor Hoffer,,,,,,,,,,,,,,,
38,1059467,Lazar Đukić,418.00000000000006,,352.0,528.0,,,,,,,,,,277.20000000000005,
